prefix_len,encoding,attribute,group,group_n,metric,disparity,violation_80pct,severity,harm_dir,small_support
10,simple,Act9,A02,13,FNR,19.204545454545453,True,severe,higher,True
10,simple,Act9,A07,10,FNR,0.0,True,severe,lower,True
10,simple,Act9,A09,16,FNR,21.125,True,severe,higher,True
10,simple,Act10,A01,128,FNR,10.0,True,severe,higher,False
10,simple,Act10,A04,158,FNR,10.0,True,severe,higher,False
10,simple,gender_cat,F,250,FNR,1.5026833631484793,True,severe,higher,False
10,simple,citizen_cat,F,229,FNR,3.6502463054187193,True,severe,higher,False
10,simple,age_group,18-29,6,FNR,0.0,True,severe,lower,True
10,simple,age_group,30-44,164,FNR,0.5486577181208054,True,high,lower,False
10,simple,german_speaking_cat,F,234,FNR,1.6551724137931034,True,severe,higher,False
10,simple,religious_cat,F,252,FNR,1.467184191954834,True,high,higher,False
10,simple,Act9,A02,13,TPR,0.5586776859504132,True,high,under,True
10,simple,Act9,A09,16,TPR,0.5121212121212121,True,high,under,True
10,simple,Act10,A01,128,TPR,0.6857142857142857,True,high,under,False
3,complex,Act3,A01,152,PPR,0.0,True,severe,under,False
3,complex,Act3,A03,828,PPR,1.256140350877193,True,high,over,False
3,complex,Res1,Online System,913,PPR,1.5823293172690762,True,severe,over,False
3,complex,Res2,HR-pro,502,PPR,0.1690909090909091,True,severe,under,False
3,complex,Res3,HR-pro,299,PPR,0.4526315789473684,True,severe,under,False
3,complex,gender_cat,F,796,PPR,0.7472826086956521,True,high,under,False
3,complex,citizen_cat,F,823,PPR,0.7762430939226519,True,moderate,under,False
3,complex,age_group,18-29,26,PPR,0.0245398773006134,True,severe,under,True
3,complex,age_group,30-44,458,PPR,0.4098159509202454,True,severe,under,False
3,complex,age_group,65+,177,PPR,0.1435582822085889,True,severe,under,False
3,complex,german_speaking_cat,F,816,PPR,0.7568306010928961,True,moderate,under,False
3,complex,religious_cat,F,787,PPR,0.69433465085639,True,high,under,False
3,complex,Act3,A01,152,PPR,0.0,True,severe,under,False
3,complex,Act3,A03,828,PPR,1.3077209933045173,True,high,over,False
3,complex,Res1,Online System,913,PPR,1.6100590752935071,True,severe,over,False
3,complex,Res2,HR-pro,502,PPR,0.4513582035494386,True,severe,under,False
3,complex,Res3,HR-pro,299,PPR,1.442668544270375,True,high,over,False
3,complex,Res3,Senior Partner,590,PPR,1.2978709485578352,True,high,over,False
3,complex,age_group,65+,177,PPV,0.6676497091832554,True,high,under,False
3,complex,Act3,A01,152,FOR,0.0,True,severe,lower,False
3,complex,Res1,Online System,913,FOR,0.2652307692307692,True,severe,lower,False
3,complex,Res2,HR-pro,502,FOR,1.5189873417721518,True,severe,higher,False
3,complex,Res3,HR-pro,299,FOR,1.932716568544996,True,severe,higher,False
3,complex,Res3,Senior Partner,590,FOR,0.7003657262277951,True,high,lower,False
3,complex,gender_cat,F,796,FOR,0.7000903342366757,True,high,lower,False
3,complex,citizen_cat,F,823,FOR,0.6955496610669024,True,high,lower,False
3,complex,age_group,18-29,26,FOR,1.469879518072289,True,high,higher,True
3,complex,age_group,65+,177,FOR,0.7349397590361445,True,high,lower,False
3,complex,Act3,A01,152,FPR,0.0,True,severe,lower,False
3,complex,Act3,A03,828,FPR,1.3928662279489024,True,high,higher,False
3,complex,Res1,Online System,913,FPR,1.6550045765358314,True,severe,higher,False
3,complex,Res2,HR-pro,502,FPR,0.4270674922912763,True,severe,lower,False
3,complex,Res3,HR-pro,299,FPR,1.580589157706093,True,severe,higher,False
3,complex,Res3,Senior Partner,590,FPR,1.258441294959859,True,high,higher,False
3,complex,Act3,A03,828,FNR,0.5048019684101913,True,high,lower,False
3,complex,Res1,Online System,913,FNR,0.0807950438822922,True,severe,lower,False
3,complex,Res2,HR-pro,502,FNR,5.883870967741936,True,severe,higher,False
3,complex,Res3,HR-pro,299,FNR,0.5510796003867224,True,high,lower,False
3,complex,Res3,Senior Partner,590,FNR,0.3141237600377893,True,severe,lower,False
3,complex,gender_cat,F,796,FNR,0.796812749003984,True,moderate,lower,False
3,complex,german_speaking_cat,F,816,FNR,1.2818441064638784,True,high,higher,False
3,complex,Res1,Online System,913,TPR,1.5487090809478152,True,severe,over,False
3,complex,Res2,HR-pro,502,TPR,0.5045348293595138,True,high,under,False
3,complex,Res3,Senior Partner,590,TPR,1.3013698630136985,True,high,over,False
3,simple,Act3,A01,152,PPR,0.0,True,severe,under,False
3,simple,gender_cat,F,796,PPR,0.7386831275720165,True,high,under,False
3,simple,citizen_cat,F,823,PPR,0.7808219178082192,True,moderate,under,False
3,simple,age_group,18-29,26,PPR,0.0232126276694521,True,severe,under,True
3,simple,age_group,30-44,458,PPR,0.3983286908077994,True,severe,under,False
3,simple,age_group,65+,177,PPR,0.1476323119777159,True,severe,under,False
3,simple,german_speaking_cat,F,816,PPR,0.79596174282678,True,moderate,under,False
3,simple,religious_cat,F,787,PPR,0.7209775967413442,True,high,under,False
3,simple,Act3,A01,152,PPR,0.0,True,severe,under,False
3,simple,age_group,65+,177,PPV,0.6842004955212503,True,high,under,False
3,simple,Act3,A01,152,FPR,0.0,True,severe,lower,False
5,complex,Act5,A01,577,PPR,0.0,True,severe,under,False
5,complex,Act5,A06,479,PPR,0.3928012519561815,True,severe,under,False
5,complex,Res2,HR-pro,504,PPR,0.3734567901234567,True,severe,under,False
5,complex,Res3,HR-pro,318,PPR,0.2749445676274945,True,severe,under,False
5,complex,Res3,Senior Partner,530,PPR,0.6984478935698448,True,high,under,False
5,complex,Res4,HR-pro,308,PPR,0.3248847926267281,True,severe,under,False
5,complex,Res4,Senior Partner,548,PPR,0.7258064516129032,True,high,under,False
5,complex,Res5,HR-dummy,223,PPR,0.0,True,severe,under,False
5,complex,Res5,HR-pro,187,PPR,0.0688575899843505,True,severe,under,False
5,complex,Res5,Senior Partner,354,PPR,0.0,True,severe,under,False
5,complex,Res5,deepResearch Inc.,292,PPR,0.3239436619718309,True,severe,under,False
5,complex,gender_cat,F,721,PPR,0.6481481481481481,True,high,under,False
5,complex,citizen_cat,F,766,PPR,0.7181467181467182,True,high,under,False
5,complex,age_group,18-29,20,PPR,0.019163763066202,True,severe,under,True
5,complex,age_group,30-44,424,PPR,0.4024390243902439,True,severe,under,False
5,complex,age_group,65+,167,PPR,0.1289198606271777,True,severe,under,False
5,complex,german_speaking_cat,F,726,PPR,0.6542750929368029,True,high,under,False
5,complex,religious_cat,F,725,PPR,0.6792452830188679,True,high,under,False
5,complex,Act5,A01,577,PPR,0.0,True,severe,under,False
5,complex,Act5,A06,479,PPR,0.524008350730689,True,high,under,False
5,complex,Res3,HR-pro,318,PPR,0.7323209081147416,True,high,under,False
5,complex,Res5,HR-dummy,223,PPR,0.0,True,severe,under,False
5,complex,Res5,HR-pro,187,PPR,0.2352941176470588,True,severe,under,False
5,complex,Res5,Senior Partner,354,PPR,0.0,True,severe,under,False
5,complex,Res5,deepResearch Inc.,292,PPR,0.708904109589041,True,high,under,False
5,complex,Act5,A06,479,PPV,0.5896769270357324,True,high,under,False
5,complex,Res5,HR-pro,187,PPV,0.5822028750759263,True,high,under,False
5,complex,Res5,deepResearch Inc.,292,PPV,0.5912656144088312,True,high,under,False
